Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado,Solução 1,F1,F2,Solução 2,F1,F2
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,4.884029254592194,234.3218660415803,3.668650883908432,0,0,0,3.815269642688940,13.99689235,894.0011021
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,6.458975726680558,194.31227768844195,4.397356768528651,5.286516666,23.24669985,1027.235095,0,0,0
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,4.930361349500732,285.9233898839857,4.388812931290721,5.503184249,24.15244619,1573.489096,0,0,0
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,5.889917758742884,266.51468855379903,4.0999042339395295,0,0,0,5.971576153194590,24.48289035,1591.512759
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,4.521516034019328,184.07129890481616,1.7282493938003363,0,0,0,6.512901539863680,11.25591814,1198.838246
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,4.573789680376292,176.80864728900463,5.197348229184817,3.874386849,20.13653763,685.0250978,4.685109431274530,24.35014521,828.3678609
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,6.397851799365069,256.28171733276344,5.018372485413612,1.588182728,7.970092504,407.0221969,2.063624817765960,10.35603801,528.8693122
8,12,2.8,5,153,187,2,1.4,6.2,5.18,3.3334351079964053,158.4631666908249,4.1899434628285395,4.705587521,19.71614567,745.6622997,3.740590240388800,15.67286162,592.7457748
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,5.153881046658267,281.1940214430783,3.710740020117793,0,0,0,4.471173554883460,16.59136265,1257.267272
10,29,4,6.6,216,264,1,2.3,7.9,7.87,4.980938824072019,229.68456809730466,4.994384570386978,5.840988702,29.17214385,1341.584967,4.280517710182590,21.37855161,983.1688615
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,2.4461637548887705,140.20120785884265,3.4433935032269782,2.447344337,8.42716959,343.1206321,2.472287127079480,8.513057431,346.6176414
12,7,3.6,6,234,286,1,2,7.8,7.66,4.372989997399628,280.6318020805741,2.300576513570076,0,0,0,5.127384987033070,11.79594148,1438.907289
13,9,5.2,8.4,261,520,2,3.5,10,6.73,5.876633622388943,281.78054012636534,5.687927808260484,0,0,0,6.205939139444240,35.29893381,1748.712883
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,4.451493115662578,180.88241002452918,2.3451904493070765,4.152081688,9.737422319,751.0385423,4.922283797028220,11.54369295,890.354556
15,30,4,6.6,279,418,2,2.4,8.3,6.6,4.311381542730053,336.04515895156294,2.7739123257893294,4.472744915,12.40700225,1503.044276,0,0,0
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,6.893476386071706,331.25548307395206,8.836749464056656,4.913532628,43.41965681,1627.634624,5.098018241616850,45.04990996,1688.746495
17,14,4,6.3,148.5,201,2,1.3,6,6.66,5.365262643174312,154.38204236382273,2.815063071381198,4.699757159,13.23011282,725.5581088,0,0,0
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,6.373127421262367,235.0970687541956,6.092334563029564,5.879220581,35.81817875,1382.187525,6.258553661823490,38.12920279,1471.367621
19,20,5.6,9,270,330,1,3.8,9.8,7.41,8.283182211,328.16822599652215,5.327843928582583,6.954251568,37.051167,2282.1644,0,0,0
20,5,4,6.6,171,209,1,2.2,7.6,7.34,5.2959497172155485,203.88927078397126,5.8801147000092175,4.757195765,27.97285675,969.9411754,4.200147765554860,24.69735062,856.3650651
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,5.060760864262271,297.75603597315967,7.813412731316058,3.718504273,29.05420863,1107.207092,0,0,0
22,17,3.6,6,288,352,1,2.1,7.7,6.75,4.889055700364515,304.50578093087614,5.435576947403928,0,0,0,0,0,0
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,5.384471018656374,174.3324273579215,3.710723323895776,0,0,0,1.274655486596880,4.729893844,222.213785
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,6.487230527716124,299.7813068,5.088677302054158,0,0,0,5.559270351946650,28.28933286,1666.565331
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,6.581310547934974,484.39209359719644,5.597870079,6.38,35.71441111,3090.421557,6.380000000000000,35.71441111,3090.421557
26,25,3.9,6,189,550,2,1.6,6.8,6.9,4.1679186358706835,389.9914043780286,6.433551550088694,0,0,0,0,0,0
27,26,4,7,243,489,3,2.3,8.1,7.54,4.851327717396173,383.6167216095954,7.117592565168828,4.599021346,32.73396014,1764.261492,3.497066554955210,24.89069491,1341.533207
28,27,5.6,9,288,352,1,3.7,9.9,7.28,6.8344798077553595,305.9186619942582,9.683166846132378,7.28,70.49345464,2227.087859,0,0,0
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.421017930929523,190.6712800572638,1.7220483386392877,5.303312051,9.132559708,1011.189297,5.963629796677950,10.26965878,1137.092927
30,11,3.6,5.9,225,398,3,2,7.4,7.28,4.912790100738498,257.35856850045155,5.946684366,0.144186975,0.857434429,37.10775343,0,0,0
,,,,,,,,,,,,,,490.4436606,24601.98309,,417.0067405,23773.66955
